Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
4.147796458,-0.162412262,9.816586304,-0.530796204,9.832267745
4.157825458,-0.603395233,9.751172333,-0.448467407,9.780110975
4.167854458,-1.115031281,9.577683105,-0.322579193,9.647764806
4.177883458,-1.395997009,9.434580688,-0.166004791,9.538746144
4.187912458,-1.444645844,9.3547966,0.104033661,9.466258186
4.197942458,-1.315464478,9.397308197,0.424666901,9.498430929
4.207971458,-1.067729645,9.436526642,0.646505585,9.518721087
4.218000458,-0.822689209,9.314979401,0.618513794,9.37167104
4.228029458,-0.766106873,9.115594025,0.589324493,9.166693925
4.238058458,-0.757125549,9.096134491,0.795146484,9.162159118
4.248087458,-0.785416718,9.265282745,1.080602875,9.361092156
4.258116458,-0.734073486,9.590256958,1.284628601,9.703719032
4.268146458,-0.847387848,10.13317795,1.537303162,10.28409755
4.278175458,-1.032852173,10.9964328,1.692380676,11.17374021
4.288204458,-1.352886658,11.93812454,1.738933868,12.13972862
4.298233458,-1.697320404,12.54166946,1.498084717,12.74435669
4.308262458,-1.705702972,12.65124161,0.951720886,12.80113704
4.318291458,-1.567689972,12.54765701,0.520767059,12.65592931
4.328321458,-1.42862915,12.61606476,0.448018341,12.70459727
4.338350458,-1.065035248,12.85945862,0.280666351,12.90653903
4.348379458,-0.205821991,13.11198349,-0.30895752,13.11723784
4.358408458,0.984951782,13.17724777,-0.687370606,13.23187316
4.368437458,1.857337646,12.90271866,-0.552501068,13.04741773
4.378466458,2.275567932,12.40200989,-0.438138886,12.61665662
4.388495458,2.193987579,11.91851532,-0.477806397,12.12818568
4.398525458,2.026336212,11.59428955,-0.399818573,11.77681806
4.408554458,2.048340454,11.43711639,-0.290545807,11.62272545
4.418583458,2.193688202,11.31676666,-0.450563049,11.5362248
4.428612458,2.268382874,11.26213028,-0.672102356,11.50794773
4.438641458,2.216889954,11.29012207,-0.811761932,11.53431467
4.448670458,2.201022949,11.28413452,-0.828227692,11.52658471
4.458699458,2.267035675,11.52932465,-1.028361511,11.79501187
4.468725708,2.38813385,11.85489761,-1.436712341,12.17809193
